model,family,params_b,id,category,language,score,detail,valid_json,output,expected,ttft_s,total_time_s,decode_tokens_per_s
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-001,classification,en,1.0,exact_match,,positive,positive,0.136,0.1448,227.25
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-002,classification,en,1.0,exact_match,,negative,negative,0.0897,0.0985,227.56
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-003,classification,en,0.0,wrong_or_ambiguous_label,,positive,neutral,0.1157,0.1245,228.83
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-004,classification,en,0.0,no_known_label_found,,science,technology,0.0878,0.0966,227.27
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-005,classification,en,1.0,exact_match,,sports,sports,0.0901,0.0989,227.01
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-006,classification,en,1.0,exact_match,,business,business,0.0856,0.0944,227.2
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-007,classification,en,1.0,exact_match,,health,health,0.0892,0.0981,224.47
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-en-008,classification,en,1.0,exact_match,,negative,negative,0.0907,0.0997,223.44
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-001,classification,it,1.0,exact_match,,positive,positive,0.1083,0.1173,222.67
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-002,classification,it,1.0,exact_match,,negative,negative,0.0904,0.0995,219.15
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-003,classification,it,1.0,exact_match,,neutral,neutral,0.0905,0.0994,225.33
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-004,classification,it,0.0,wrong_or_ambiguous_label,,business,technology,0.0992,0.108,227.53
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-005,classification,it,1.0,exact_match,,sports,sports,0.0941,0.103,222.94
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-006,classification,it,1.0,exact_match,,business,business,0.0945,0.1033,227.09
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-007,classification,it,1.0,exact_match,,health,health,0.0977,0.1065,226.07
Qwen2.5-0.5B-Instruct,Qwen,0.5,classification-it-008,classification,it,1.0,exact_match,,negative,negative,0.0885,0.0975,222.4
Qwen2.5-0.5B-Instruct,Qwen,0.5,information_extraction-en-001,information_extraction,en,0.75,values_missing:customer,True,"{""invoice_number"": ""4521"", ""date"": ""2025-07-14"", ""total_amount"": ""1230.50""}","{""invoice_number"": ""4521"", ""customer"": ""Maria Garcia"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",0.142,0.4788,115.8
