quant_level,id,category,language,score,detail,valid_json,output,expected,ttft_s,total_time_s,decode_tokens_per_s
F16,classification-en-001,classification,en,1.0,exact_match,,positive,positive,0.4548,0.5005,43.82
F16,classification-en-002,classification,en,1.0,exact_match,,negative,negative,0.3524,0.3988,43.05
F16,classification-en-003,classification,en,1.0,exact_match,,neutral,neutral,0.4485,0.4948,43.27
F16,classification-en-004,classification,en,1.0,exact_match,,technology,technology,0.3587,0.4033,44.77
F16,classification-en-005,classification,en,1.0,exact_match,,sports,sports,0.3541,0.3991,44.48
F16,classification-en-006,classification,en,1.0,exact_match,,business,business,0.3573,0.4038,43.07
F16,classification-en-007,classification,en,1.0,exact_match,,health,health,0.3527,0.3981,44.07
F16,classification-en-008,classification,en,1.0,exact_match,,negative,negative,0.3509,0.3965,43.82
F16,classification-it-001,classification,it,1.0,exact_match,,positive,positive,0.3626,0.407,45.06
F16,classification-it-002,classification,it,1.0,exact_match,,negative,negative,0.3536,0.4007,42.43
F16,classification-it-003,classification,it,1.0,exact_match,,neutral,neutral,0.3538,0.4,43.27
F16,classification-it-004,classification,it,1.0,exact_match,,technology,technology,0.3632,0.409,43.72
F16,classification-it-005,classification,it,1.0,exact_match,,sports,sports,0.3613,0.4096,41.44
F16,classification-it-006,classification,it,1.0,exact_match,,business,business,0.3635,0.4097,43.25
F16,classification-it-007,classification,it,1.0,exact_match,,health,health,0.3587,0.4035,44.65
F16,classification-it-008,classification,it,1.0,exact_match,,negative,negative,0.4007,0.4461,44.01
F16,information_extraction-en-001,information_extraction,en,0.75,values_missing:date,True,"{
  ""invoice_number"": ""4521"",
  ""customer_name"": ""Maria Garcia"",
  ""issue_date"": ""July 14, 2025"",
  ""total_amount"": ""$1,230.50""
}","{""invoice_number"": ""4521"", ""customer"": ""Maria Garcia"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",0.4251,2.9226,22.02
