model,category,detail,count
Qwen2.5-0.5B-Instruct,reasoning,numeric_mismatch,10
Qwen2.5-0.5B-Instruct,instruction_following,format_ok_content_wrong,5
Qwen2.5-0.5B-Instruct,classification,wrong_or_ambiguous_label,2
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:event_location,start_date,end_date",2
Qwen2.5-0.5B-Instruct,reasoning,day_mismatch_or_missing,2
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.43,2
Qwen2.5-0.5B-Instruct,classification,no_known_label_found,1
Qwen2.5-0.5B-Instruct,information_extraction,values_missing:customer,1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:date,total",1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:day,location",1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:doctor,hours",1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:email,phone",1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:flight_number,gate",1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:flight_number,gate,destination",1
Qwen2.5-0.5B-Instruct,information_extraction,values_missing:hours,1
Qwen2.5-0.5B-Instruct,information_extraction,values_missing:month_sold,1
Qwen2.5-0.5B-Instruct,information_extraction,"values_missing:name,email,phone",1
Qwen2.5-0.5B-Instruct,information_extraction,values_missing:price,1
Qwen2.5-0.5B-Instruct,instruction_following,content_and_format_wrong,1
Qwen2.5-0.5B-Instruct,instruction_following,content_ok_format_violation,1
Qwen2.5-0.5B-Instruct,structured_output,"fields_wrong:larghezza,altezza",1
Qwen2.5-0.5B-Instruct,structured_output,fields_wrong:nome,1
Qwen2.5-0.5B-Instruct,structured_output,"fields_wrong:prezzo,disponibile",1
Qwen2.5-0.5B-Instruct,structured_output,"fields_wrong:price,in_stock",1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.26,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.29,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.32,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.38,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.39,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.40,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.41,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.44,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.49,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.50,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.52,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.55,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.56,1
Qwen2.5-0.5B-Instruct,summarization,token_f1=0.63,1
Qwen2.5-1.5B-Instruct,reasoning,numeric_mismatch,5
Qwen2.5-1.5B-Instruct,instruction_following,format_ok_content_wrong,4
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.03,3
Qwen2.5-1.5B-Instruct,information_extraction,values_missing:attendee,2
Qwen2.5-1.5B-Instruct,reasoning,day_mismatch_or_missing,2
Qwen2.5-1.5B-Instruct,information_extraction,"values_missing:address,month_sold",1
Qwen2.5-1.5B-Instruct,information_extraction,values_missing:date,1
Qwen2.5-1.5B-Instruct,information_extraction,"values_missing:date,total",1
Qwen2.5-1.5B-Instruct,information_extraction,"values_missing:doctor,hours",1
Qwen2.5-1.5B-Instruct,information_extraction,values_missing:end_date,1
Qwen2.5-1.5B-Instruct,information_extraction,values_missing:hours,1
Qwen2.5-1.5B-Instruct,information_extraction,values_missing:month_sold,1
Qwen2.5-1.5B-Instruct,information_extraction,"values_missing:name,phone",1
Qwen2.5-1.5B-Instruct,information_extraction,"values_missing:start_date,end_date",1
Qwen2.5-1.5B-Instruct,instruction_following,content_and_format_wrong,1
Qwen2.5-1.5B-Instruct,structured_output,"fields_wrong:prezzo,disponibile",1
Qwen2.5-1.5B-Instruct,structured_output,"fields_wrong:price,in_stock",1
Qwen2.5-1.5B-Instruct,structured_output,list_mismatch,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.00,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.09,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.11,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.19,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.20,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.30,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.33,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.44,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.49,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.50,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.52,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.55,1
Qwen2.5-1.5B-Instruct,summarization,token_f1=0.62,1
Llama-3.2-1B-Instruct,reasoning,numeric_mismatch,8
