system,params_b,id,category,language,score,detail,valid_json,output,expected,prompt_tokens,completion_tokens,ttft_s,total_time_s,decode_tokens_per_s
CPU-SLM,1.5,classification-en-001,classification,en,1.0,exact_match,,positive,positive,80,2,0.527,0.5438,118.59
CPU-SLM,1.5,classification-en-002,classification,en,1.0,exact_match,,negative,negative,81,2,0.2116,0.2276,125.25
CPU-SLM,1.5,classification-en-003,classification,en,1.0,exact_match,,neutral,neutral,73,2,0.1624,0.1783,125.23
CPU-SLM,1.5,classification-en-004,classification,en,1.0,exact_match,,technology,technology,88,2,0.2506,0.2668,122.93
CPU-SLM,1.5,classification-en-005,classification,en,1.0,exact_match,,sports,sports,89,2,0.2663,0.2828,121.79
CPU-SLM,1.5,classification-en-006,classification,en,1.0,exact_match,,business,business,86,2,0.263,0.2822,103.7
CPU-SLM,1.5,classification-en-007,classification,en,1.0,exact_match,,health,health,87,2,0.2901,0.3076,114.25
CPU-SLM,1.5,classification-en-008,classification,en,1.0,exact_match,,negative,negative,84,2,0.2722,0.2913,104.79
CPU-SLM,1.5,classification-it-001,classification,it,1.0,exact_match,,positive,positive,99,2,0.5024,0.5232,96.6
CPU-SLM,1.5,classification-it-002,classification,it,1.0,exact_match,,negative,negative,95,2,0.3749,0.3956,96.32
CPU-SLM,1.5,classification-it-003,classification,it,1.0,exact_match,,neutral,neutral,88,2,0.3306,0.3528,89.76
CPU-SLM,1.5,classification-it-004,classification,it,1.0,exact_match,,technology,technology,104,2,0.4802,0.5029,88.14
CPU-SLM,1.5,classification-it-005,classification,it,1.0,exact_match,,sports,sports,96,2,0.4103,0.4332,87.36
CPU-SLM,1.5,classification-it-006,classification,it,1.0,exact_match,,business,business,99,2,0.4338,0.4565,88.06
CPU-SLM,1.5,classification-it-007,classification,it,1.0,exact_match,,health,health,100,2,0.4606,0.4832,88.52
CPU-SLM,1.5,classification-it-008,classification,it,1.0,exact_match,,negative,negative,91,2,0.3579,0.38,90.58
CPU-SLM,1.5,information_extraction-en-001,information_extraction,en,0.75,values_missing:date,True,"{
  ""invoice_number"": ""4521"",
  ""issued_to"": ""Maria Garcia"",
  ""date"": ""July 14, 2025"",
  ""total_amount"": ""$1,230.50""
}","{""invoice_number"": ""4521"", ""customer"": ""Maria Garcia"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",86,54,0.7643,1.988,44.13
CPU-SLM,1.5,information_extraction-en-002,information_extraction,en,0.3333,"values_missing:name,phone",True,"{
  ""contact_method"": ""Email"",
  ""email"": ""john.doe@example.com""
}","{""name"": ""John Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""(555) 123-4567""}",80,22,0.3291,0.8036,46.36
CPU-SLM,1.5,information_extraction-en-003,information_extraction,en,1.0,all_values_found,True,"{
  ""flight"": ""AA245"",
  ""departure_gate"": ""12"",
  ""departure_time"": ""14:30"",
  ""arrival_city"": ""Chicago"",
  ""arrival_time"": ""17:05""
}","{""flight_number"": ""AA245"", ""gate"": ""12"", ""departure_time"": ""14:30"", ""destination"": ""Chicago"", ""arrival_time"": ""17:05""}",81,54,0.325,1.5753,43.19
CPU-SLM,1.5,information_extraction-en-004,information_extraction,en,0.75,values_missing:hours,True,"{
  ""date"": ""Monday and Wednesday"",
  ""time"": ""9am to 1pm"",
  ""location"": ""Riverside Clinic"",
  ""doctor"": ""Dr. Emily Carter""
}","{""doctor"": ""Dr. Emily Carter"", ""location"": ""Riverside Clinic"", ""days"": [""Monday"", ""Wednesday""], ""hours"": ""9am-1pm""}",74,44,0.2741,1.286,43.49
